lz_houston,lz_north,lz_south,lz_west
14.33,16.73,10.78,12.84
10.25,12.23,7.10,11.29
8.61,10.41,5.08,9.91
8.38,10.15,4.64,10.27
10.10,11.84,6.79,11.62
17.45,18.91,14.23,28.26
20.79,22.19,17.89,31.78
21.39,22.24,18.33,33.70
18.24,18.76,15.30,28.07
19.71,19.15,14.81,10.76
19.78,18.37,14.37,5.04
23.30,19.07,14.75,2.60
26.35,17.79,18.21,.92
32.66,18.33,22.21,.92
34.39,21.36,27.26,.62
33.41,23.27,25.56,.57
31.76,25.31,26.98,1.38
28.04,29.06,27.63,3.73
30.86,33.90,27.61,14.88
37.81,39.76,31.85,32.06
30.25,32.25,25.88,31.60
22.17,22.91,18.92,16.23
20.13,21.45,17.27,16.70
18.64,20.34,15.10,18.08
